ID,start_year,group,focal,anr_year
35492733800,2008,1265,0,2012
35316827300,2011,1266,1,2015
56208817600,2010,1266,0,2014
35317080300,2007,1267,1,2011
7003276286,2011,1267,0,2015
35320474200,2012,1268,1,2016
7102621928,2011,1268,0,2015
35321469900,2008,1269,1,2012
10040882600,2005,1269,0,2009
12806965200,2008,127,1,2012
57202311057,2008,127,0,2012
35321575000,2011,1270,1,2015
6603174040,2006,1270,0,2010
35324177000,2006,1271,1,2010
14046543300,2003,1271,0,2007
35329408000,2006,1272,1,2010
7003540416,2006,1272,0,2010
35329441800,2008,1273,1,2012
10241248300,2005,1273,0,2009
35361148300,2011,1274,1,2015
15062250500,2011,1274,0,2015
35363418800,2012,1275,1,2016
6603389461,2008,1275,0,2012
35376308000,2011,1276,1,2015
56259700100,2010,1276,0,2014
35377655200,2011,1277,1,2015
6506074368,2006,1277,0,2010
35379243200,2008,1278,1,2012
7004943607,2009,1278,0,2013
35380287000,2007,1279,1,2011
55574503700,2009,1279,0,2013
12807614200,2007,128,1,2011
10241820100,2006,128,0,2010
35386125600,2007,1280,1,2011
56264174000,2011,1280,0,2015
35407558100,2009,1281,1,2013
6701639442,2005,1281,0,2009
35407565900,2009,1282,1,2013
35303516100,2005,1282,0,2009
35410037800,2008,1283,1,2012
7004405101,2003,1283,0,2007
35416421800,2008,1284,1,2012
7005353464,2010,1284,0,2014
35431273000,2008,1285,1,2012
6602772570,2003,1285,0,2007
35432442400,2009,1286,1,2013
7004167402,2007,1286,0,2011
35432935300,2006,1287,1,2010
56277788800,2011,1287,0,2015
35451501400,2010,1288,1,2014
7403519127,2003,1288,0,2007
35459892700,2009,1289,1,2013
7004493113,2003,1289,0,2007
12808681300,2006,129,1,2010
55887276800,2002,129,0,2006
35476861300,2012,1290,1,2016
8898983400,2009,1290,0,2013
35481625500,2007,1291,1,2011
6507176089,2003,1291,0,2007
35484258100,2011,1292,1,2015
55404455200,2005,1292,0,2009
35485958200,2009,1293,1,2013
7004613558,2004,1293,0,2008
35486794500,2009,1294,1,2013
6506762831,2011,1294,0,2015
35487359200,2012,1295,1,2016
7006112144,2008,1295,0,2012
35488349500,2010,1296,1,2014
6507403835,2009,1296,0,2013
35493597200,2007,1297,1,2011
6701325897,2009,1297,0,2013
35503024500,2012,1298,1,2016
11138853500,2008,1298,0,2012
35508987200,2009,1299,1,2013
56243027700,2007,1299,0,2011
10239292700,2006,13,1,2010
6601982390,2011,13,0,2015
12808763400,2010,130,1,2014
7004311413,2008,130,0,2012
35510247100,2007,1300,1,2011
7006255547,2004,1300,0,2008
35512027400,2008,1301,1,2012
7401472342,2010,1301,0,2014
35514621600,2008,1302,1,2012
6507585915,2010,1302,0,2014
35516516600,2006,1303,1,2010
15061865800,2008,1303,0,2012
35516550900,2009,1304,1,2013
7103005333,2011,1304,0,2015
35516732100,2009,1305,1,2013
14036983700,2011,1305,0,2015
35517740000,2008,1306,1,2012
7801539484,2008,1306,0,2012
35547062600,2006,1307,1,2010
7004805320,2011,1307,0,2015
35547194700,2007,1308,1,2011
7004914345,2001,1308,0,2005
35547756400,2006,1309,1,2010
7006604602,2004,1309,0,2008
12809671300,2010,131,1,2014
55697892500,2005,131,0,2009
35548439700,2006,1310,1,2010
6603745443,2008,1310,0,2012
35551238800,2006,1311,1,2010
7103149275,2008,1311,0,2012
35552327000,2007,1312,1,2011
7801687080,2008,1312,0,2012
35553657800,2006,1313,1,2010
6507853139,2011,1313,0,2015
35554218400,2010,1314,1,2014
56256874400,2008,1314,0,2012
35556287400,2008,1315,1,2012
7006203766,2008,1315,0,2012
35557746600,2007,1316,1,2011
23396580400,2003,1316,0,2007
35559189200,2010,1317,1,2014
12772145600,2006,1317,0,2010
35560835900,2007,1318,1,2011
7003446901,2007,1318,0,2011
35561789100,2007,1319,1,2011
57191602163,2009,1319,0,2013
13002635000,2012,132,1,2016
8890863200,2007,132,0,2011
35565372000,2008,1320,1,2012
7004386449,2011,1320,0,2015
35568938100,2007,1321,1,2011
25634875400,2008,1321,0,2012
35569116400,2007,1322,1,2011
10038910100,2006,1322,0,2010
35569207800,2009,1323,1,2013
7003877328,2002,1323,0,2006
35574131000,2008,1324,1,2012
22985270800,2006,1324,0,2010
35575924500,2007,1325,1,2011
7003374252,2002,1325,0,2006
35575928900,2008,1326,1,2012
7005913799,2009,1326,0,2013
35576440500,2006,1327,1,2010
7004370504,2002,1327,0,2006
35576566100,2008,1328,1,2012
6506054950,2006,1328,0,2010
35576694800,2007,1329,1,2011
6602607621,2007,1329,0,2011
13003541600,2010,133,1,2014
10040481000,2011,133,0,2015
35578811000,2009,1330,1,2013
6506759192,2008,1330,0,2012
35579517100,2010,1331,1,2014
7006549425,2009,1331,0,2013
35579634600,2010,1332,1,2014
6602502070,2004,1332,0,2008
35580162800,2012,1333,1,2016
7005346973,2011,1333,0,2015
35580378200,2009,1334,1,2013
7401845142,2011,1334,0,2015
35580586500,2007,1335,1,2011
7003497574,2010,1335,0,2014
35581113700,2009,1336,1,2013
36080187300,2009,1336,0,2013
35582884000,2008,1337,1,2012
7007101970,2007,1337,0,2011
35583947700,2007,1338,1,2011
8361740900,2008,1338,0,2012
35584772500,2008,1339,1,2012
7006371097,2009,1339,0,2013
13005944800,2011,134,1,2015
56187941400,2000,134,0,2004
35587292600,2010,1340,1,2014
6602491667,2010,1340,0,2014
35588070400,2007,1341,1,2011
56629242200,2003,1341,0,2007
35588404500,2008,1342,1,2012
6603760785,2009,1342,0,2013
35588784300,2006,1343,1,2010
55958169900,2011,1343,0,2015
35592489100,2006,1344,1,2010
8608761200,2009,1344,0,2013
35598635500,2006,1345,1,2010
6602218442,2006,1345,0,2010
35600088200,2008,1346,1,2012
57203252786,2010,1346,0,2014
35604011000,2009,1347,1,2013
26640645700,2006,1347,0,2010
35604100700,2009,1348,1,2013
7006645475,2004,1348,0,2008
35605416800,2009,1349,1,2013
6603927174,2009,1349,0,2013
13006651200,2012,135,1,2016
7101789489,2009,135,0,2013
35606836200,2008,1350,1,2012
7004593336,2004,1350,0,2008
35607150100,2007,1351,1,2011
35948192900,2001,1351,0,2005
35607726500,2007,1352,1,2011
35894624500,2004,1352,0,2008
35609540200,2006,1353,1,2010
7004475140,2006,1353,0,2010
35610950000,2008,1354,1,2012
7004227427,2005,1354,0,2009
35610982700,2006,1355,1,2010
6603883483,2010,1355,0,2014
35612447000,2006,1356,1,2010
6701800902,2007,1356,0,2011
35613143800,2006,1357,1,2010
8273307800,2010,1357,0,2014
35613597200,2006,1358,1,2010
6603799293,2009,1358,0,2013
35614136300,2008,1359,1,2012
8346213600,2010,1359,0,2014
13007109200,2007,136,1,2011
57035681300,2007,136,0,2011
35614252400,2008,1360,1,2012
7006137039,2011,1360,0,2015
35614416800,2011,1361,1,2015
55708600000,2009,1361,0,2013
35614627400,2006,1362,1,2010
6506599912,2009,1362,0,2013
35615641100,2011,1363,1,2015
7003699575,2003,1363,0,2007
35616990200,2006,1364,1,2010
6701768116,2009,1364,0,2013
35621744800,2008,1365,1,2012
10139099500,2005,1365,0,2009
35727775500,2006,1366,1,2010
6603557889,2004,1366,0,2008
35735087200,2012,1367,1,2016
6602666129,2007,1367,0,2011
35740356200,2008,1368,1,2012
6603054938,2008,1368,0,2012
35740749800,2011,1369,1,2015
6701336761,2011,1369,0,2015
13007129600,2010,137,1,2014
7003841343,2009,137,0,2013
35741528900,2009,1370,1,2013
7003901272,2005,1370,0,2009
35742175700,2012,1371,1,2016
16175809800,2010,1371,0,2014
35743289500,2012,1372,1,2016
7007110411,2006,1372,0,2010
35748350600,2010,1373,1,2014
8626697100,2006,1373,0,2010
35751850800,2012,1374,1,2016
6602116118,2011,1374,0,2015
35752625000,2009,1375,1,2013
55925624200,2003,1375,0,2007
35757955600,2010,1376,1,2014
7004467402,2004,1376,0,2008
35771500900,2012,1377,1,2016
22334009800,2010,1377,0,2014
35772809000,2006,1378,1,2010
12761477800,2010,1378,0,2014
35772968600,2012,1379,1,2016
36671157200,2009,1379,0,2013
13007564300,2011,138,1,2015
10042944700,2010,138,0,2014
35773230800,2011,1380,1,2015
10139181500,2008,1380,0,2012
35776872600,2010,1381,1,2014
24764526200,2011,1381,0,2015
35780879000,2006,1382,1,2010
35792449300,2010,1382,0,2014
35788670500,2009,1383,1,2013
7101942868,2007,1383,0,2011
35789254000,2007,1384,1,2011
57196547483,2007,1384,0,2011
35794337100,2007,1385,1,2011
15828193000,2010,1385,0,2014
35808576700,2010,1386,1,2014
8399701900,2008,1386,0,2012
35809812600,2011,1387,1,2015
36144474000,2011,1387,0,2015
35810128700,2008,1388,1,2012
10042856700,2009,1388,0,2013
35830220500,2008,1389,1,2012
12806111100,2007,1389,0,2011
13008779100,2010,139,1,2014
7401572191,2005,139,0,2009
35836921500,2007,1390,1,2011
6506068508,2008,1390,0,2012
35844947300,2007,1391,1,2011
6603652367,2011,1391,0,2015
35846429200,2012,1392,1,2016
23393838200,2006,1392,0,2010
