"","auth.id","start_year","group","focal","anr_year"
"399","33067598300",2008,"1178",1,2012
"400","55991967000",2011,"1178",0,2015
"401","33067603300",2008,"1179",1,2012
"402","36761157900",2010,"1179",0,2014
"403","12794947900",2006,"118",1,2010
"404","57016428700",2000,"118",0,2004
"405","33267648400",2009,"1180",1,2013
"406","7003902348",2000,"1180",0,2004
"407","33367511700",2008,"1181",1,2012
"408","23391929500",2005,"1181",0,2009
"409","34567838100",2009,"1182",1,2013
"410","36338279200",2008,"1182",0,2012
"411","34569203100",2008,"1183",1,2012
"412","56350094500",2010,"1183",0,2014
"413","34569363500",2008,"1184",1,2012
"414","8891071900",2010,"1184",0,2014
"415","34570066300",2006,"1185",1,2010
"416","7004322541",2009,"1185",0,2013
"417","34668058700",2009,"1186",1,2013
"418","7004917385",2005,"1186",0,2009
"419","34668561200",2008,"1187",1,2012
"420","7005363730",2005,"1187",0,2009
"421","34770173300",2007,"1188",1,2011
"422","24293855000",2004,"1188",0,2008
"423","34770397300",2012,"1189",1,2016
"424","6603869620",2010,"1189",0,2014
"425","12795833800",2006,"119",1,2010
"426","7407522409",2010,"119",0,2014
"427","34869367400",2010,"1190",1,2014
"428","7005972603",2009,"1190",0,2013
"429","34870029100",2009,"1191",1,2013
"430","7202324266",2011,"1191",0,2015
"431","34873176200",2007,"1192",1,2011
"432","7404930398",2008,"1192",0,2012
"433","34873799400",2010,"1193",1,2014
"434","8716932100",2002,"1193",0,2006
"435","34877480900",2012,"1194",1,2016
"436","7004268227",2001,"1194",0,2005
"437","34976337300",2010,"1195",1,2014
"438","9943488600",2010,"1195",0,2014
"439","34976567000",2010,"1196",1,2014
"440","7003454900",2006,"1196",0,2010
"441","34976578600",2012,"1197",1,2016
"442","16644550500",2010,"1197",0,2014
"443","34978244600",2010,"1198",1,2014
"444","10040420400",2005,"1198",0,2009
"445","35069234100",2009,"1199",1,2013
"446","8429576200",2007,"1199",0,2011
"447","10145078900",2006,"12",1,2010
"448","6701372207",2001,"12",0,2005
"449","12798168600",2009,"120",1,2013
"450","35227084600",2004,"120",0,2008
"451","35069306800",2008,"1200",1,2012
"452","7006810666",2007,"1200",0,2011
"453","35071285400",2011,"1201",1,2015
"454","6603887020",2002,"1201",0,2006
"455","35071828400",2012,"1202",1,2016
"456","10039464500",2008,"1202",0,2012
"457","35072674900",2009,"1203",1,2013
"458","6507772721",2010,"1203",0,2014
"459","35073962300",2010,"1204",1,2014
"460","8512497100",2006,"1204",0,2010
"461","35078036900",2012,"1205",1,2016
"462","6507715145",2004,"1205",0,2008
"463","35078375800",2011,"1206",1,2015
"464","14030235900",2007,"1206",0,2011
"465","35084804500",2009,"1207",1,2013
"466","6602519031",2009,"1207",0,2013
"467","35085709900",2012,"1208",1,2016
"468","26034245900",2009,"1208",0,2013
"469","35087981500",2010,"1209",1,2014
"470","7103400345",2004,"1209",0,2008
"471","12799252000",2007,"121",1,2011
"472","6506558145",2003,"121",0,2007
"473","35090045800",2006,"1210",1,2010
"474","24479823300",2003,"1210",0,2007
"475","35094419900",2009,"1211",1,2013
"476","24172933700",2008,"1211",0,2012
"477","35099997000",2012,"1212",1,2016
"478","55791277000",2011,"1212",0,2015
"479","35104255800",2012,"1213",1,2016
"480","6603066224",2009,"1213",0,2013
"481","35113731100",2012,"1214",1,2016
"482","7006205089",2009,"1214",0,2013
"483","35113776100",2010,"1215",1,2014
"484","56627703100",2005,"1215",0,2009
"485","35118560200",2012,"1216",1,2016
"486","10144733900",2004,"1216",0,2008
"487","35118720600",2012,"1217",1,2016
"488","6602429158",2011,"1217",0,2015
"489","35140107400",2006,"1218",1,2010
"490","19642687300",2007,"1218",0,2011
"491","35148098000",2010,"1219",1,2014
"492","12803211800",2010,"1219",0,2014
"493","12799458800",2008,"122",1,2012
"494","14044827300",2001,"122",0,2005
"495","35172464500",2009,"1220",1,2013
"496","7006242041",2010,"1220",0,2014
"497","35175715300",2009,"1221",1,2013
"498","10045051100",2006,"1221",0,2010
"499","35177144700",2009,"1222",1,2013
"500","25958953100",2009,"1222",0,2013
