,auth.id,group,focal,anr_year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
277,7003877328,1323,0,2006,1,1,2,6,8,8,8,9,10,12,16,16,17,18,18,23,24,24,24,24,24,24,24,24,24,24,24,24,24,1990
279,7003374252,1325,0,2006,0,5,7,10,11,14,15,18,20,23,31,36,37,39,41,46,53,54,61,64,67,72,75,77,78,79,83,91,93,1991
280,7005913799,1326,0,2013,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,23,23,23,23,23,23,23,23,1990
282,7004370504,1327,0,2006,0,0,0,0,0,0,0,0,0,0,4,4,4,13,13,13,25,25,25,25,25,25,25,25,25,25,25,25,25,1990
284,6602607621,1329,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,16,16,16,17,17,17,17,17,1996
285,10040481000,133,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2008
288,6602502070,1332,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,1999
291,7003497574,1335,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,13,1998
293,7007101970,1337,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990
295,8361740900,1338,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,5,5,5,5,5,5,5,5,11,11,11,11,2003
300,55958169900,1343,0,2015,0,0,0,0,1,1,1,1,1,1,1,2,2,5,5,9,10,12,15,22,25,26,27,40,47,51,56,65,71,1994
302,8608761200,1344,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,35,35,35,35,35,35,35,2007
303,57203252786,1346,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,11,11,11,11,11,11,11,11,11,1996
304,26640645700,1347,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,15,26,45,48,56,80,1995
307,7101789489,135,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,1994
309,7004593336,1350,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,12,12,12,12,12,12,12,12,1990
313,6603883483,1355,0,2014,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,13,16,17,25,25,26,32,36,1999
315,6701800902,1356,0,2011,0,0,0,0,2,2,2,2,2,2,8,10,14,17,19,24,30,34,49,61,71,82,86,106,107,123,128,129,130,1992
320,55708600000,1361,0,2013,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,5,5,10,12,12,12,13,13,23,27,33,33,33,1990
323,6603054938,1368,0,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1991
324,7003841343,137,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,6,6,6,6,6,1994
327,55925624200,1375,0,2007,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1993
329,7004467402,1376,0,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,1990
331,22334009800,1377,0,2014,0,0,0,0,0,0,0,0,0,1,1,1,1,2,8,10,11,12,15,22,24,28,28,28,30,36,36,38,38,1999
332,36671157200,1379,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,4,5,5,5,5,5,5,5,2005
335,24764526200,1381,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,10,12,12,18,32,33,33,33,33,36,38,2004
336,35792449300,1382,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,2010
337,7101942868,1383,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,1990
339,15828193000,1385,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,62,62,62,2002
343,23393838200,1392,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,6,6,6,8,11,13,28,34,35,38,2005
345,22835110300,1399,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,6,6,10,14,34,34,2009
347,7003283235,14,0,2005,0,0,0,0,0,0,3,4,8,8,8,8,8,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,1991
