,auth.id,group,focal,anr_year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year
140,34570066300,1185,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,1990
142,34770173300,1188,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,83,83,83,1998
144,34770397300,1189,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,2005
146,34869367400,1190,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,15,26,33,40,47,57,64,67,2008
147,34873176200,1192,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,7,8,11,18,27,31,35,35,2004
148,34873799400,1193,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,5,6,6,8,2009
150,34976337300,1195,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,7,15,28,41,49,51,59,62,2008
151,34976567000,1196,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,9,13,20,22,23,26,27,2009
153,34978244600,1198,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,10,10,10,10,10,10,10,10,2009
156,35071285400,1201,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,22,22,22,22,22,2009
158,35078036900,1205,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,5,5,5,2009
160,35078375800,1206,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2009
162,35084804500,1207,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,4,7,9,13,18,26,28,30,36,2009
163,35087981500,1209,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,7,7,10,16,17,17,17,17,20,20,20,2005
164,12799252000,121,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,20,20,2004
165,35090045800,1210,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,16,16,16,16,16,20,22,27,27,27,40,40,44,44,2002
167,35099997000,1212,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,5,2011
169,35104255800,1213,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,8,9,10,10,2010
171,35113731100,1214,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,7,9,9,13,17,17,18,2009
173,35113776100,1215,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,7,7,11,17,21,23,23,24,25,27,29,29,2004
175,35118560200,1216,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,3,2009
177,35148098000,1219,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,14,14,14,21,2009
178,35177144700,1222,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,6,6,6,6,6,6,6,2010
179,35195492000,1224,1,2014,0,0,0,0,0,2,2,4,6,7,10,11,25,30,35,46,59,63,66,81,93,112,122,177,204,223,230,244,248,1990
180,35197934800,1225,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,5,5,7,9,10,2010
182,35221597500,1226,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,2008
184,35226924700,1228,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,1999
186,12801021300,123,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1997
188,35226990500,1230,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,21,2000
190,35227002200,1231,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,15,15,22,1995
191,35227036700,1232,1,2015,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,99,99,99,107,1995
192,35228207600,1234,1,2016,0,0,0,0,0,0,0,0,0,0,56,56,56,56,56,56,56,56,56,56,56,56,71,71,71,71,71,71,78,1996
194,35228518000,1236,1,2010,0,0,0,0,0,0,0,0,0,0,2,2,2,8,8,14,15,15,17,17,33,65,103,122,127,137,144,153,180,2000
196,35228649200,1237,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,2009
198,35234059600,1239,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,17,17,17,17,17,17,20,20,28,37,37,37,37,2004
200,35234646200,1240,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,8,8,2009
202,35239878500,1241,1,2010,0,0,0,0,2,2,2,2,2,2,2,2,3,3,4,4,4,10,10,10,10,10,10,10,10,10,10,10,10,1994
204,35239938700,1242,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,36,36,41,85,90,90,90,2003
206,35241251300,1243,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,16,16,16,19,19,19,2009
208,35262231400,1247,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,1990
209,35270010100,1249,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,5,5,20,31,34,34,40,42,1997
211,12801085400,125,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,23,26,33,37,61,89,97,161,165,2006
213,35271209000,1250,1,2010,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1996
215,35274563300,1252,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,2000
216,35279441400,1253,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,32,32,35,35,35,35,35,35,35,35,36,36,36,1992
219,35298609700,1256,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,19,19,65,126,126,126,126,126,2006
221,35304529700,1257,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,8,8,8,8,8,8,8,1990
223,35309684800,1260,1,2013,0,0,4,4,8,14,14,14,14,14,14,14,14,21,42,53,53,65,71,75,75,75,75,75,75,75,75,75,75,1990
225,35313326800,1262,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,57,57,57,2007
228,35316827300,1266,1,2015,0,0,0,0,0,0,0,0,5,8,13,13,13,13,18,20,26,26,26,26,26,26,26,28,28,31,33,33,33,1996
230,35320474200,1268,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,9,9,2010
231,12806965200,127,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,5,7,7,8,12,18,22,25,32,2004
233,35324177000,1271,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2001
235,35380287000,1279,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1990
236,35386125600,1280,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,17,67,70,72,85,95,109,123,2007
238,35407558100,1281,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1990
240,35416421800,1284,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,1991
243,35451501400,1288,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,1990
244,35459892700,1289,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,9,14,14,24,24,24,24,1991
246,35476861300,1290,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,2005
249,35486794500,1294,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,10,12,15,16,17,22,32,34,35,36,2005
252,35488349500,1296,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,9,11,12,12,16,24,29,34,39,39,2008
254,10239292700,13,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,13,26,26,26,52,52,56,56,2000
256,12808763400,130,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,32,55,67,83,100,123,156,179,2006
258,35510247100,1300,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1999
261,35516516600,1303,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,13,13,19,19,28,2002
263,35516732100,1305,1,2013,0,0,0,0,0,0,4,6,7,11,11,11,12,12,17,17,17,18,22,30,32,32,38,38,38,43,43,43,43,1991
265,35547062600,1307,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,7,7,10,13,13,13,13,13,13,13,1994
267,35547756400,1309,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,9,9,9,9,17,17,1997
268,12809671300,131,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,25,25,25,25,25,32,36,41,44,53,62,2006
269,35548439700,1310,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1992
270,35551238800,1311,1,2010,0,0,0,0,0,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,17,17,17,17,17,17,17,17,17,1994
273,35560835900,1318,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,1995
274,35565372000,1320,1,2012,0,0,0,0,0,0,6,6,11,13,13,20,21,33,33,36,37,37,56,56,62,69,74,74,93,101,110,126,127,1996
276,35569207800,1323,1,2013,0,0,0,0,0,0,0,3,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,51,51,1990
278,35574131000,1324,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2003
281,35576440500,1327,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,14,15,16,22,25,32,32,32,32,32,32,32,1992
283,35576694800,1329,1,2011,0,0,0,0,4,4,4,4,4,8,8,8,8,10,13,13,13,13,15,18,20,21,21,21,24,29,29,29,32,1990
286,35579517100,1331,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2004
287,35579634600,1332,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,25,25,31,31,31,31,31,31,31,31,31,31,43,43,43,43,43,2001
289,35580162800,1333,1,2016,0,0,0,0,0,0,0,0,4,4,7,9,9,14,14,18,19,32,34,43,74,85,85,90,122,134,134,144,164,1998
290,35580586500,1335,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2001
292,35581113700,1336,1,2013,0,1,1,1,1,1,2,2,5,5,5,10,10,10,10,11,13,13,24,30,36,39,41,52,58,62,62,62,65,1991
294,35583947700,1338,1,2011,0,0,0,0,0,0,5,6,6,6,6,6,6,6,6,6,9,11,11,29,29,38,38,38,38,38,38,38,38,1991
296,13005944800,134,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2002
297,35587292600,1340,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,23,28,28,29,29,1993
298,35588404500,1342,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,7,7,11,15,25,25,25,25,30,34,1999
299,35588784300,1343,1,2010,0,0,0,0,0,0,0,0,0,0,5,6,6,7,8,13,19,46,68,95,132,149,188,209,236,268,288,326,345,2000
301,35592489100,1344,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,9,9,9,9,9,9,9,9,9,9,9,1990
305,35604100700,1348,1,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,9,9,10,12,2009
306,35605416800,1349,1,2013,0,0,0,0,0,2,3,4,18,18,18,19,19,23,23,25,25,34,34,40,40,44,46,48,54,55,58,58,58,1990
308,35606836200,1350,1,2012,0,0,0,2,2,2,2,2,2,2,2,3,3,3,3,3,5,5,5,6,6,9,9,15,15,15,15,15,15,1993
310,35607726500,1352,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,6,6,11,1995
311,35610950000,1354,1,2012,0,0,0,0,0,0,0,0,0,0,3,8,12,17,17,19,22,24,24,26,29,31,34,38,40,40,46,50,51,2000
312,35610982700,1355,1,2010,0,0,0,0,0,0,0,1,1,1,1,1,1,6,6,6,9,14,17,17,20,23,26,31,43,45,48,52,53,1997
314,35612447000,1356,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,6,6,8,19,54,55,68,93,94,110,111,124,133,136,2000
316,35613597200,1358,1,2010,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,9,1994
317,13007109200,136,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,7,7,7,7,7,7,7,7,7,7,2006
318,35614252400,1360,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,7,7,10,10,10,10,10,10,13,1998
319,35614416800,1361,1,2015,0,0,0,0,3,3,4,4,4,4,4,7,11,11,11,17,29,37,53,59,64,73,88,99,107,134,140,152,172,1996
321,35616990200,1364,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,13,13,13,13,13,13,1990
322,35735087200,1367,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,2011
325,35748350600,1373,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,17,19,19,20,35,35,2010
326,35751850800,1374,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2010
