ID,group,focal,anr_year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,start_year,end_year,max_hole_size,activity,tot_pubs
34569363500,1184,1,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,9,15,19,24,26,33,42,63,66,69,2006,2018,0,12,98
8891071900,1184,0,2014,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,10,12,16,31,31,46,50,52,54,56,59,60,63,2002,2018,3,16,25
34570066300,1185,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,2013,2013,0,0,1
7004322541,1185,0,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14,2013,2013,0,0,1
34770173300,1188,1,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,83,83,83,2012,2018,3,6,7
24293855000,1188,0,2008,0,0,0,0,0,0,0,0,0,0,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,2000,2000,0,0,1
34770397300,1189,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,2014,2014,0,0,1
6603869620,1189,0,2014,1,1,1,3,3,3,3,3,3,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1990,2018,9,28,8
34873799400,1193,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,4,5,6,6,8,2010,2018,1,8,8
8716932100,1193,0,2006,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,5,9,11,14,15,19,21,24,27,30,30,31,31,31,2000,2018,1,18,27
34976567000,1196,1,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,9,13,20,22,23,26,27,2009,2018,0,9,16
7003454900,1196,0,2010,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,4,8,8,8,9,9,9,13,13,13,13,13,1992,2014,4,22,17
35071285400,1201,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,22,22,22,22,22,2012,2015,1,3,4
6603887020,1201,0,2006,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,4,5,6,8,12,12,22,27,47,53,60,69,84,96,2000,2018,1,18,96
35078036900,1205,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,5,5,5,2009,2016,3,7,5
6507715145,1205,0,2008,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,3,4,4,5,11,11,14,16,25,26,30,34,53,2001,2018,2,17,41
35078375800,1206,1,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2011,2012,0,1,2
14030235900,1206,0,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,2006,2008,1,2,3
35090045800,1210,1,2010,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,16,16,16,16,16,20,22,27,27,27,40,40,44,44,2002,2017,4,15,17
24479823300,1210,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,2008,2008,0,0,2
35099997000,1212,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,5,2013,2017,1,4,4
55791277000,1212,0,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,7,17,22,22,2011,2018,1,7,18
35104255800,1213,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,8,9,10,10,2010,2018,1,8,25
6603066224,1213,0,2013,0,0,0,1,1,6,6,6,6,6,6,7,7,7,7,10,13,15,20,21,21,21,21,23,24,24,24,24,24,1993,2015,3,22,19
35113731100,1214,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,7,9,9,13,17,17,18,2009,2018,1,9,15
